user_id,session_id,event_date,signup_date,plan,country,device,company_size,feature_used,prompt_category,ai_model,prompt_length_words,tokens_used,latency_seconds,session_duration_minutes,prompts_in_session,regenerated_response,copied_response,rating,feedback,converted_to_paid,revenue_usd,retained_7d,error_flag,response_success
U0001,SESS00001,2026-01-15,2025-09-03,Pro,India,Desktop,SMB,Chat,Education,GPT-4o,28,284,1.55,14.1,2,No,Yes,5,Positive,Yes,33.41,Yes,No,Yes
U0001,SESS00001,2026-01-15,2025-09-03,Pro,India,Desktop,SMB,Image Generation,Writing,GPT-4.1,39,391,9.51,14.1,2,No,No,4,Positive,Yes,33.41,Yes,No,Yes
U0001,SESS00002,2026-02-07,2025-09-03,Pro,India,Mobile,SMB,Search,Research,GPT-4.1,63,343,1.71,5.9,2,No,Yes,5,Positive,Yes,33.41,Yes,No,Yes
U0001,SESS00002,2026-02-07,2025-09-03,Pro,India,Mobile,SMB,File Upload,Coding,GPT-4.1,141,493,4.34,5.9,2,No,No,3,Neutral,Yes,33.41,Yes,No,Yes
U0001,SESS00003,2026-02-21,2025-09-03,Pro,India,Desktop,SMB,Chat,Coding,GPT-4.1,31,182,1.59,6.5,2,No,Yes,5,Positive,Yes,33.41,Yes,No,Yes
U0001,SESS00003,2026-02-21,2025-09-03,Pro,India,Desktop,SMB,Chat,Writing,GPT-4o,126,261,2.36,6.5,2,No,No,4,Positive,Yes,33.41,Yes,No,Yes
U0002,SESS00004,2026-03-04,2026-02-27,Pro,Germany,Desktop,Startup,Chat,Marketing,GPT-4.1,151,636,2.41,10.8,2,No,Yes,5,Positive,Yes,15.74,Yes,No,Yes
U0002,SESS00004,2026-03-04,2026-02-27,Pro,Germany,Desktop,Startup,Image Generation,Data Analysis,GPT-4o-mini,26,265,4.22,10.8,2,Yes,No,3,Positive,Yes,15.74,Yes,No,Yes
U0002,SESS00005,2026-03-07,2026-02-27,Pro,Germany,Desktop,Startup,Chat,Marketing,GPT-4o,57,374,2.73,6.8,4,Yes,No,2,Neutral,Yes,15.74,Yes,No,Yes
U0002,SESS00005,2026-03-07,2026-02-27,Pro,Germany,Desktop,Startup,Search,Customer Support,GPT-4.1,78,466,2.86,6.8,4,No,Yes,5,Positive,Yes,15.74,Yes,No,Yes
U0002,SESS00005,2026-03-07,2026-02-27,Pro,Germany,Desktop,Startup,Chat,Customer Support,GPT-4o-mini,16,288,1.41,6.8,4,Yes,Yes,2,Negative,Yes,15.74,Yes,Yes,No
U0002,SESS00005,2026-03-07,2026-02-27,Pro,Germany,Desktop,Startup,Chat,Writing,GPT-4o-mini,76,173,2.44,6.8,4,Yes,No,3,Positive,Yes,15.74,Yes,No,Yes
U0003,SESS00006,2026-02-19,2026-02-12,Free,India,Desktop,Startup,Chat,Writing,GPT-4o,62,380,2.07,11.9,3,No,Yes,4,Positive,No,0.00,Yes,No,Yes
U0003,SESS00006,2026-02-19,2026-02-12,Free,India,Desktop,Startup,Search,Coding,GPT-4o,56,394,2.34,11.9,3,Yes,Yes,5,Positive,No,0.00,Yes,No,Yes
U0003,SESS00006,2026-02-19,2026-02-12,Free,India,Desktop,Startup,File Upload,Writing,GPT-4o-mini,25,343,3.72,11.9,3,No,No,4,Positive,No,0.00,Yes,No,Yes
U0003,SESS00007,2026-03-02,2026-02-12,Free,India,Desktop,Startup,Chat,Coding,GPT-4o,12,212,1.54,6.8,2,Yes,No,3,Neutral,No,0.00,Yes,No,Yes
U0003,SESS00007,2026-03-02,2026-02-12,Free,India,Desktop,Startup,Image Generation,Coding,GPT-4o,17,254,6.48,6.8,2,No,Yes,4,Positive,No,0.00,Yes,No,Yes
U0004,SESS00008,2026-01-24,2025-12-16,Pro,Germany,Desktop,Startup,Chat,Writing,GPT-4o-mini,44,322,1.6,8.5,2,Yes,No,2,Negative,Yes,35.24,Yes,No,Yes
U0004,SESS00008,2026-01-24,2025-12-16,Pro,Germany,Desktop,Startup,Chat,Research,GPT-4o,57,144,2.7,8.5,2,No,No,4,Positive,Yes,35.24,Yes,No,Yes
U0004,SESS00009,2026-03-11,2025-12-16,Pro,Germany,Desktop,Startup,Chat,Data Analysis,GPT-4o,51,294,1.57,8.6,2,Yes,No,1,Negative,Yes,35.24,Yes,No,Yes
U0004,SESS00009,2026-03-11,2025-12-16,Pro,Germany,Desktop,Startup,Chat,Marketing,GPT-4.1,25,566,1.57,8.6,2,No,No,5,Positive,Yes,35.24,Yes,No,Yes
U0004,SESS00010,2026-03-19,2025-12-16,Pro,Germany,Tablet,Startup,Search,Marketing,GPT-4o,40,442,2.2,4.0,2,No,No,5,Positive,Yes,35.24,Yes,No,Yes
U0004,SESS00010,2026-03-19,2025-12-16,Pro,Germany,Tablet,Startup,Chat,Writing,GPT-4o,7,479,1.06,4.0,2,No,Yes,4,Positive,Yes,35.24,Yes,No,Yes
U0005,SESS00011,2026-03-01,2025-12-03,Free,Canada,Desktop,Individual,Chat,Education,GPT-4o-mini,80,378,2.4,12.3,3,No,No,4,Positive,No,0.00,Yes,No,Yes
U0005,SESS00011,2026-03-01,2025-12-03,Free,Canada,Desktop,Individual,Image Generation,Data Analysis,GPT-4o-mini,31,228,6.38,12.3,3,No,Yes,4,Positive,No,0.00,Yes,No,Yes
U0005,SESS00011,2026-03-01,2025-12-03,Free,Canada,Desktop,Individual,Search,Customer Support,GPT-4o-mini,40,389,0.91,12.3,3,No,Yes,4,Positive,No,0.00,Yes,No,Yes
U0005,SESS00012,2026-03-29,2025-12-03,Free,Canada,Mobile,Individual,Chat,Data Analysis,GPT-4o-mini,45,270,2.6,7.4,2,No,Yes,4,Positive,No,0.00,Yes,No,Yes
U0005,SESS00012,2026-03-29,2025-12-03,Free,Canada,Mobile,Individual,Chat,Data Analysis,GPT-4o-mini,103,639,2.36,7.4,2,Yes,No,3,Neutral,No,0.00,Yes,No,Yes
U0006,SESS00013,2026-02-20,2025-06-22,Free,India,Desktop,Startup,Chat,Research,GPT-4o-mini,31,405,1.32,7.0,2,No,No,1,Neutral,No,0.00,Yes,Yes,No
U0006,SESS00013,2026-02-20,2025-06-22,Free,India,Desktop,Startup,Chat,Data Analysis,GPT-4o-mini,27,310,2.19,7.0,2,Yes,No,1,Negative,No,0.00,Yes,No,Yes
U0006,SESS00014,2026-03-06,2025-06-22,Free,India,Desktop,Startup,Image Generation,Marketing,GPT-4o-mini,55,179,5.0,13.7,3,No,Yes,4,Positive,No,0.00,Yes,No,Yes
U0006,SESS00014,2026-03-06,2025-06-22,Free,India,Desktop,Startup,Chat,Customer Support,GPT-4o,39,355,2.45,13.7,3,No,No,3,Neutral,No,0.00,Yes,No,Yes
U0006,SESS00014,2026-03-06,2025-06-22,Free,India,Desktop,Startup,File Upload,Marketing,GPT-4o,21,439,4.44,13.7,3,Yes,No,3,Neutral,No,0.00,Yes,No,Yes
U0007,SESS00015,2026-01-03,2025-09-13,Free,United States,Desktop,Individual,Chat,Data Analysis,GPT-4o-mini,54,511,2.17,20.6,2,No,Yes,4,Positive,No,0.00,No,No,Yes
U0007,SESS00015,2026-01-03,2025-09-13,Free,United States,Desktop,Individual,Voice,Data Analysis,GPT-4o-mini,63,464,3.73,20.6,2,No,Yes,4,Neutral,No,0.00,No,No,Yes
U0007,SESS00016,2026-01-25,2025-09-13,Free,United States,Mobile,Individual,Search,Data Analysis,GPT-4o-mini,141,409,1.7,10.2,3,Yes,No,2,Negative,No,0.00,No,No,Yes
U0007,SESS00016,2026-01-25,2025-09-13,Free,United States,Mobile,Individual,Chat,Customer Support,GPT-4o-mini,75,299,1.81,10.2,3,No,Yes,5,Positive,No,0.00,No,No,Yes
U0007,SESS00016,2026-01-25,2025-09-13,Free,United States,Mobile,Individual,Chat,Writing,GPT-4o-mini,39,174,2.53,10.2,3,No,Yes,5,Positive,No,0.00,No,No,Yes
U0008,SESS00017,2026-01-08,2025-11-10,Pro,United States,Mobile,Individual,Chat,Marketing,GPT-4.1,32,128,3.07,6.9,2,No,Yes,5,Positive,Yes,22.33,Yes,No,Yes
U0008,SESS00017,2026-01-08,2025-11-10,Pro,United States,Mobile,Individual,Chat,Research,GPT-4.1,39,365,3.26,6.9,2,No,Yes,4,Positive,Yes,22.33,Yes,No,Yes
U0008,SESS00018,2026-01-12,2025-11-10,Pro,United States,Mobile,Individual,Chat,Writing,GPT-4o-mini,68,466,1.55,15.4,2,Yes,No,4,Positive,Yes,22.33,Yes,No,Yes
